CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;21/02/2018;8;1,759;R
ES0021000001720511XQ;21/02/2018;9;0,116;R
ES0021000001720511XQ;21/02/2018;10;0,101;R
ES0021000001720511XQ;21/02/2018;11;0,098;R
ES0021000001720511XQ;21/02/2018;12;0,132;R
ES0021000001720511XQ;21/02/2018;13;0,314;R
ES0021000001720511XQ;21/02/2018;14;0,311;R
ES0021000001720511XQ;21/02/2018;15;0,622;R
ES0021000001720511XQ;21/02/2018;16;0,942;R
ES0021000001720511XQ;21/02/2018;17;1,379;R
ES0021000001720511XQ;21/02/2018;18;0,426;R
ES0021000001720511XQ;21/02/2018;19;0,302;R
ES0021000001720511XQ;21/02/2018;20;0,354;R
ES0021000001720511XQ;21/02/2018;21;0,229;R
ES0021000001720511XQ;21/02/2018;22;1,021;R
ES0021000001720511XQ;21/02/2018;23;1,870;R
ES0021000001720511XQ;21/02/2018;24;2,463;R
ES0021000001720511XQ;22/02/2018;1;0,614;E
ES0021000001720511XQ;22/02/2018;2;0,485;E
ES0021000001720511XQ;22/02/2018;3;0,429;E
ES0021000001720511XQ;22/02/2018;4;0,405;E
ES0021000001720511XQ;22/02/2018;5;0,400;E
ES0021000001720511XQ;22/02/2018;6;0,416;E
ES0021000001720511XQ;22/02/2018;7;0,497;E
ES0021000001720511XQ;22/02/2018;8;0,698;E
ES0021000001720511XQ;22/02/2018;9;0,844;E
ES0021000001720511XQ;22/02/2018;10;0,921;E
ES0021000001720511XQ;22/02/2018;11;0,991;E
ES0021000001720511XQ;22/02/2018;12;0,996;E
ES0021000001720511XQ;22/02/2018;13;1,006;E
ES0021000001720511XQ;22/02/2018;14;1,023;E
ES0021000001720511XQ;22/02/2018;15;0,976;E
ES0021000001720511XQ;22/02/2018;16;0,927;E
ES0021000001720511XQ;22/02/2018;17;0,924;E
ES0021000001720511XQ;22/02/2018;18;0,966;E
ES0021000001720511XQ;22/02/2018;19;1,045;E
ES0021000001720511XQ;22/02/2018;20;1,171;E
ES0021000001720511XQ;22/02/2018;21;1,224;E
ES0021000001720511XQ;22/02/2018;22;1,188;E
ES0021000001720511XQ;22/02/2018;23;1,030;E
ES0021000001720511XQ;22/02/2018;24;0,821;E
ES0021000001720511XQ;23/02/2018;1;0,466;R
ES0021000001720511XQ;23/02/2018;2;0,242;R
ES0021000001720511XQ;23/02/2018;3;0,238;R
