CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;19/03/2018;22;0,655;R
ES0021000001720511XQ;19/03/2018;23;2,330;R
ES0021000001720511XQ;19/03/2018;24;0,802;R
ES0021000001720511XQ;20/03/2018;1;1,809;R
ES0021000001720511XQ;20/03/2018;2;0,336;R
ES0021000001720511XQ;20/03/2018;3;0,241;R
ES0021000001720511XQ;20/03/2018;4;0,260;R
ES0021000001720511XQ;20/03/2018;5;0,285;R
ES0021000001720511XQ;20/03/2018;6;0,259;R
ES0021000001720511XQ;20/03/2018;7;1,919;R
ES0021000001720511XQ;20/03/2018;8;1,423;R
ES0021000001720511XQ;20/03/2018;9;0,260;R
ES0021000001720511XQ;20/03/2018;10;0,277;R
ES0021000001720511XQ;20/03/2018;11;0,232;R
ES0021000001720511XQ;20/03/2018;12;0,221;R
ES0021000001720511XQ;20/03/2018;13;0,221;R
ES0021000001720511XQ;20/03/2018;14;0,263;R
ES0021000001720511XQ;20/03/2018;15;0,423;R
ES0021000001720511XQ;20/03/2018;16;1,130;R
ES0021000001720511XQ;20/03/2018;17;1,223;R
ES0021000001720511XQ;20/03/2018;18;0,457;R
ES0021000001720511XQ;20/03/2018;19;0,402;R
ES0021000001720511XQ;20/03/2018;20;0,366;R
ES0021000001720511XQ;20/03/2018;21;0,432;R
ES0021000001720511XQ;20/03/2018;22;1,927;R
ES0021000001720511XQ;20/03/2018;23;2,056;R
ES0021000001720511XQ;20/03/2018;24;1,240;R
ES0021000001720511XQ;21/03/2018;1;0,479;R
ES0021000001720511XQ;21/03/2018;2;0,369;R
ES0021000001720511XQ;21/03/2018;3;0,362;R
ES0021000001720511XQ;21/03/2018;4;0,376;R
ES0021000001720511XQ;21/03/2018;5;0,269;R
ES0021000001720511XQ;21/03/2018;6;0,394;R
ES0021000001720511XQ;21/03/2018;7;1,833;R
ES0021000001720511XQ;21/03/2018;8;1,966;R
ES0021000001720511XQ;21/03/2018;9;0,278;R
